<>;1;2;3;4;5;6;7;8;9;10;11;12
A;80;65;72;72;24;13;4;8;10;3;-1;8
B;69445;280450;205402;119559;27;28;10;18;9;12;4;11
C;128419;284151;345062;190012;34;23;20;7;9;7;10;0
D;199501;223784;219584;175347;33;32;19;6;15;0;12;12
E;95606;93548;101874;116054;40;22;10;13;3;0;0;-4
F;73530;65648;47055;86387;20;23;8;10;4;7;22;2
G;50164;38457;41624;30937;34;5;5;0;8;6;5;1
H;33;26;35;28;15;12;19;-1;2;-1;7;3
