<>;1;2;3;4;5;6;7;8;9;10;11;12
A;230884;218957;245482;74;43;57;49;23;4;6;-1;19
B;247151;307684;274087;67;34;19;29;21;23;12;12;15
C;185517;285207;316054;72;101;83;73;8;18;19;8;4
D;198907;170449;183505;80;27034;27927;26493;33;27;0;13;6
E;175557;131777;119985;81;29054;33064;26522;17;17;7;11;5
F;124024;119370;109204;55;24;17;41;9;27;7;2;19
G;88240;78711;81703;32;28;17;21;17;12;12;5;-8
H;36;34;33;26;28;33;23;12;22;6;5;12
